candidate_election_id,candidate_clean,candidate_raw,party_id,state,constituency,election_year
CAND_2019_ANDHRA_PRADESH_GUNTUR_NDDHP_SAMUDRALA_CHINNA_KOTAIAH,SAMUDRALA CHINNA KOTAIAH,Samudrala Chinna Kotaiah,NDDHP,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_NOTA_NOTA,NOTA,NOTA,NOTA,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_NRCP_SHAIK_JALEEL,SHAIK JALEEL,Shaik Jaleel,NRCP,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_PPOI_ARAVETI_HAZARATH_RAO,ARAVETI HAZARATH RAO,Araveti Hazarath Rao,PPOI,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_PRSHP_RAMARAO_SIMHADRI,RAMARAO SIMHADRI,Ramarao Simhadri,PRSHP,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_RPIA_NAGARAJU_EKULA,NAGARAJU EKULA,Nagaraju Ekula,RPI(A),Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_TDP_JAYADEV_GALLA,JAYADEV GALLA,Jayadev Galla,TDP,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_VCK_N_J_VIDYASAGAR,N. J. VIDYASAGAR,N. J. Vidyasagar,VCK,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_YSRCP_MODUGULA_VENUGOPALA_REDDY,MODUGULA VENUGOPALA REDDY,Modugula Venugopala Reddy,YSRCP,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_HINDUPUR_BJP_MITTA_PARTHASARATHI,MITTA PARTHASARATHI,MITTA PARTHASARATHI,BJP,Andhra Pradesh,Hindupur,2019
CAND_2019_ANDHRA_PRADESH_HINDUPUR_INC_KAMAGANAHALLI_THIPPESWAMY_SREEDHAR_K_T_SREEDHAR,KAMAGANAHALLI THIPPESWAMY SREEDHAR K.T.SREEDHAR,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),INC,Andhra Pradesh,Hindupur,2019
CAND_2019_ANDHRA_PRADESH_HINDUPUR_IND_RAMAMOHAN_D_G,RAMAMOHAN D.G.,Ramamohan D.G.,IND,Andhra Pradesh,Hindupur,2019
CAND_2019_ANDHRA_PRADESH_HINDUPUR_IND_GOGULA_PULAKUNTA_JAYANTH,GOGULA PULAKUNTA JAYANTH,GOGULA PULAKUNTA JAYANTH,IND,Andhra Pradesh,Hindupur,2019
CAND_2019_ANDHRA_PRADESH_HINDUPUR_IND_MUGI_SURYA_PRAKASH,MUGI SURYA PRAKASH,Mugi Surya Prakash,IND,Andhra Pradesh,Hindupur,2019
CAND_2019_ANDHRA_PRADESH_HINDUPUR_IND_S_R_ANJANEYULU,S.R.ANJANEYULU,S.R.Anjaneyulu,IND,Andhra Pradesh,Hindupur,2019
