year,geography_level,state,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,shift_direction,notes
2019,national,,gender,,Others,88.0,10.0,-78.0,78.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,60.0,-28.0,28.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,71.0,-17.0,17.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,3.0,-85.0,85.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,62.0,-26.0,26.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,10.0,-78.0,78.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,33.0,-55.0,55.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,0.0,-88.0,88.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,10.0,-78.0,78.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,11.0,-77.0,77.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,65.3,-22.7,22.7,decreased_post_poll,
2019,national,,gender,,Others,88.0,4.0,-84.0,84.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,20.0,-68.0,68.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,29.0,-13.0,13.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,10.0,-32.0,32.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,20.0,-22.0,22.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,42.0,0.0,0.0,unchanged,
2019,national,,gender,,Others,42.0,30.0,-12.0,12.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,40.0,-2.0,2.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,22.0,-20.0,20.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,14.0,-28.0,28.0,decreased_post_poll,
2019,national,,gender,,Others,42.0,90.0,48.0,48.0,increased_post_poll,
