party,votes,vote_share_pct,seats,seat_share_pct,representation_gap
NJANP,4847.0,0.0007891915464973286,0.0,0.0,-0.0007891915464973286
ICF,4832.0,0.000786749237193128,0.0,0.0,-0.000786749237193128
JJJKP,4809.0,0.0007830043629266872,0.0,0.0,-0.0007830043629266872
ATBP,4737.0,0.0007712812782665246,0.0,0.0,-0.0007712812782665246
BKrD,4696.0,0.0007646056328350433,0.0,0.0,-0.0007646056328350433
TNRMPI,4672.0,0.0007606979379483224,0.0,0.0,-0.0007606979379483224
BTARP,4632.0,0.000754185113137121,0.0,0.0,-0.000754185113137121
PRSP,4612.0,0.0007509287007315203,0.0,0.0,-0.0007509287007315203
NNP,4590.0,0.0007473466470853595,0.0,0.0,-0.0007473466470853595
MwSP,4498.0,0.0007323671500195964,0.0,0.0,-0.0007323671500195964
NJP,4444.0,0.0007235748365244745,0.0,0.0,-0.0007235748365244745
mimm,4413.0,0.0007185273972957933,0.0,0.0,-0.0007185273972957933
RPI(KH),4402.0,0.000716736370472713,0.0,0.0,-0.000716736370472713
ARP,4399.0,0.0007162479086118728,0.0,0.0,-0.0007162479086118728
NVSP,4286.0,0.0006978491785202289,0.0,0.0,-0.0006978491785202289
ASGP,4283.0,0.0006973607166593889,0.0,0.0,-0.0006973607166593889
NRCong,4278.0,0.0006965466135579887,0.0,0.0,-0.0006965466135579887
NRCP,4265.0,0.0006944299454943483,0.0,0.0,-0.0006944299454943483
PJSP,4179.0,0.0006804273721502652,0.0,0.0,-0.0006804273721502652
JHAP,4164.0,0.0006779850628460647,0.0,0.0,-0.0006779850628460647
PHSP,4073.0,0.0006631683864005816,0.0,0.0,-0.0006631683864005816
MaNPa,4071.0,0.0006628427451600214,0.0,0.0,-0.0006628427451600214
MPOI,4057.0,0.000660563256476101,0.0,0.0,-0.000660563256476101
AIUC,4024.0,0.0006551901760068599,0.0,0.0,-0.0006551901760068599
RAPI,4016.0,0.0006538876110446195,0.0,0.0,-0.0006538876110446195
IUC,4003.0,0.0006517709429809791,0.0,0.0,-0.0006517709429809791
MNVP,3962.0,0.0006450952975494977,0.0,0.0,-0.0006450952975494977
