sr_no,party_type,abbreviation,party_symbol,party_name,year
272,U,DBSP,"Air conditioner,Bat,Coat,Ganna kisan",Democratic Bharatiya Samaj Party,2024
273,U,DHBHP,Football player,Dhanwan Bharat Party,2024
274,U,DHRMSMJP,Chappals,Dharma Samaj Party,2024
275,U,DIGVBHP,Coconut farm,Digvijaya Bharatha Party,2024
276,U,DJHP,"Bat,Pressure cooker,School bag,Whistle",Desh Janhit Party,2024
277,U,DJP,"Coconut farm,Ganna kisan",Delhi Janta Party,2024
278,U,DKD,Truck,Dalit Kranti Dal,2024
279,U,DMSK,"Auto- rickshaw,Bucket,Football player,Robot,Ship,Water melon",Desiya Makkal Sakthi Katchi,2024
280,U,DPAP,Bucket,Democratic Progressive Azad Party,2024
281,U,DPRMP,Coconut farm,Desh Prem Party,2024
282,U,DrAPP,Auto- rickshaw,Dr. Ambedkar People's Party,2024
283,U,DS,Ring,Dhoom Sena,2024
284,U,DSPI,Auto- rickshaw,Democratic Socialist Party of India,2024
285,U,DSPVAD,Harmonium,Dalit Soshit Pichhara Varg Adhikar Dal,2024
286,U,EKSP,"Boat with man and sail,Phone charger",Eklavya Samaj Party,2024
287,U,ESBD,"Diamond,Flute,Triangle",Ekam Sanatan Bharat Dal,2024
288,U,GaAP,"Air conditioner,Camera,Plate containing food,Whistle",Gareeb Aadmi Party,2024
289,U,GBLRPBP,"CCTV Camera,Gas cylinder,Hockey and ball,Pressure cooker",Global Republican Party,2024
290,U,GGP,"Baby walker,Black board,Saw",Gondvana Gantantra Party,2024
291,U,GJRTLKTNTP,Auto- rickshaw,Gujarat Loktantra Party,2024
292,U,GNASURKP,"Battery Torch,Bead necklace,Binoculars",Gana Suraksha Party,2024
293,U,GNDWDKP,Man blowing turha,Gondwana Dandkaranya Party,2024
294,U,GPI,Lady finger,Ganasangam Party of India,2024
295,U,grac,Tube light,Gorkha Rashtriya Congress,2024
296,U,GRBDMCTP,Tiller,Garib Democratic Party,2024
297,U,GRBKLYNP,"Biscuit,Ganna kisan",Garib Kalyan Party,2024
298,U,GSD,Table,Guruchand Sena Dal,2024
299,U,GSNJP,CCTV Camera,Gunj Satya Ni Janata Party,2024
300,U,GSSP,Ship,Gujarat Sarva Samaj Party,2024
301,U,HAMS,Pan,Hindustani Awam Morcha (Secular),2024
302,U,HCHLJP,Telephone,Himachal Janta Party,2024
303,U,HFPP,Water melon,Humanity for Peace Party,2024
304,U,HINDSMJP,Coat,Hindustan Samaj Party,2024
305,U,HJP,"Almirah,Cot,Diamond,Pen nib with seven rays,Whistle",Hindustan Janta Party,2024
306,U,HJPS,Apple,Hindustan Janta Party Secular,2024
